date,day_week,close,open,high,low,adj_close,var_day,volume
1981-04-06,1,133.93,0.0,135.61,132.91,133.93,-1.16,43190000
1981-04-07,2,133.91,0.0,135.27,132.96,133.91,-0.01,44540000
1981-04-08,3,134.31,0.0,135.34,133.26,134.31,0.3,48000000
1981-04-09,4,134.67,0.0,135.8,132.59,134.67,0.27,59520000
1981-04-10,5,134.51,0.0,136.23,133.18,134.51,-0.12,58130000
1981-04-13,1,133.15,0.0,134.91,132.24,133.15,-1.02,49860000
1981-04-14,2,132.68,0.0,134.03,131.58,132.68,-0.35,48350000
1981-04-15,3,134.17,0.0,134.79,132.2,134.17,1.11,56040000
1981-04-16,4,134.7,0.0,135.82,133.43,134.7,0.39,52950000
1981-04-20,1,135.45,0.0,136.25,133.19,135.45,0.55,51020000
1981-04-21,2,134.23,0.0,136.38,133.49,134.23,-0.91,60280000
1981-04-22,3,134.14,0.0,135.54,132.72,134.14,-0.07,60660000
1981-04-23,4,133.94,0.0,135.9,132.9,133.94,-0.15,64200000
1981-04-24,5,135.14,0.0,136.0,132.88,135.14,0.89,60000000
1981-04-27,1,135.48,0.0,136.56,134.13,135.48,0.25,51080000
1981-04-28,2,134.33,0.0,136.09,133.1,134.33,-0.86,58210000
1981-04-29,3,133.05,0.0,134.69,131.82,133.05,-0.96,53340000
1981-04-30,4,132.81,0.0,134.44,131.85,132.81,-0.18,47970000
1981-05-01,5,132.72,0.0,134.17,131.43,132.72,-0.07,48360000
1981-05-04,1,130.67,0.0,131.78,129.61,130.67,-1.57,40430000
1981-05-05,2,130.32,0.0,131.33,128.93,130.32,-0.27,49000000
1981-05-06,3,130.78,0.0,132.38,130.09,130.78,0.35,47100000
1981-05-07,4,131.67,0.0,132.41,130.21,131.67,0.68,42590000
1981-05-08,5,131.66,0.0,132.69,130.84,131.66,-0.01,41860000
1981-05-11,1,129.71,0.0,132.23,129.11,129.71,-1.5,37640000
1981-05-12,2,130.72,0.0,131.17,128.78,130.72,0.77,40440000
1981-05-13,3,130.55,0.0,131.96,129.53,130.55,-0.13,42600000
1981-05-14,4,131.28,0.0,132.15,129.91,131.28,0.56,42750000
1981-05-15,5,132.17,0.0,133.21,130.75,132.17,0.67,45460000
1981-05-18,1,132.54,0.0,133.65,131.49,132.54,0.28,42510000
1981-05-19,2,132.09,0.0,133.22,130.78,132.09,-0.34,42220000
1981-05-20,3,132.0,0.0,133.03,130.59,132.0,-0.07,42370000
1981-05-21,4,131.75,0.0,133.03,130.7,131.75,-0.19,46820000
1981-05-22,5,131.33,0.0,132.65,130.42,131.33,-0.32,40710000
1981-05-26,2,132.77,0.0,133.3,130.64,132.77,1.08,42760000
1981-05-27,3,133.77,0.0,134.65,131.85,133.77,0.75,58730000
1981-05-28,4,133.45,0.0,134.92,132.0,133.45,-0.24,59500000
1981-05-29,5,132.59,0.0,134.36,131.52,132.59,-0.65,51580000
1981-06-01,1,132.41,0.0,134.62,131.49,132.41,-0.14,62170000
1981-06-02,2,130.62,0.0,132.96,129.84,130.62,-1.37,53930000
1981-06-03,3,130.71,0.0,131.37,128.77,130.71,0.07,54700000
1981-06-04,4,130.96,0.0,132.21,129.72,130.96,0.19,48940000
1981-06-05,5,132.22,0.0,132.98,130.17,132.22,0.95,47180000
1981-06-08,1,132.24,0.0,133.68,131.29,132.24,0.02,41580000
1981-06-09,2,131.97,0.0,133.3,130.94,131.97,-0.2,44600000
1981-06-10,3,132.32,0.0,133.49,131.04,132.32,0.26,53200000
1981-06-11,4,133.75,0.0,134.31,131.58,133.75,1.07,59530000
1981-06-12,5,133.49,0.0,135.09,132.4,133.49,-0.19,60790000
1981-06-15,1,133.61,0.0,135.67,132.78,133.61,0.09,63350000
1981-06-16,2,132.15,0.0,134.0,131.29,132.15,-1.1,57780000
1981-06-17,3,133.32,0.0,133.98,130.81,133.32,0.88,55470000
1981-06-18,4,131.64,0.0,133.98,130.94,131.64,-1.28,48400000
1981-06-19,5,132.27,0.0,133.27,130.49,132.27,0.48,46430000
1981-06-22,1,131.95,0.0,133.54,131.1,131.95,-0.24,41790000
1981-06-23,2,133.35,0.0,133.98,131.16,133.35,1.05,51840000
1981-06-24,3,132.66,0.0,133.9,131.65,132.66,-0.52,46650000
1981-06-25,4,132.81,0.0,134.3,131.78,132.81,0.11,43920000
1981-06-26,5,132.56,0.0,133.75,131.71,132.56,-0.19,39240000
1981-06-29,1,131.89,0.0,133.5,131.2,131.89,-0.51,37930000
1981-06-30,2,131.21,0.0,132.67,130.31,131.21,-0.52,41550000
1981-07-01,3,129.77,0.0,131.69,129.04,129.77,-1.11,49080000
1981-07-02,4,128.64,0.0,130.48,127.84,128.64,-0.88,45100000
1981-07-06,1,127.37,0.0,128.99,126.44,127.37,-1.0,44590000
1981-07-07,2,128.24,0.0,129.6,126.39,128.24,0.68,53560000
1981-07-08,3,128.32,0.0,129.57,126.95,128.32,0.06,46000000
1981-07-09,4,129.3,0.0,130.08,127.57,129.3,0.76,45510000
1981-07-10,5,129.37,0.0,130.43,128.38,129.37,0.05,39950000
1981-07-13,1,129.64,0.0,130.82,128.79,129.64,0.21,38100000
1981-07-14,2,129.65,0.0,130.78,128.14,129.65,0.01,45230000
1981-07-15,3,130.23,0.0,131.59,128.89,130.23,0.45,48950000
1981-07-16,4,130.34,0.0,131.41,129.3,130.34,0.08,39010000
1981-07-17,5,130.76,0.0,131.6,129.49,130.76,0.32,42780000
1981-07-20,1,128.72,0.0,130.6,127.98,128.72,-1.58,40240000
1981-07-21,2,128.34,0.0,129.6,127.08,128.34,-0.3,47280000
1981-07-22,3,127.13,0.0,129.72,126.7,127.13,-0.95,47500000
1981-07-23,4,127.4,0.0,128.26,125.96,127.4,0.21,41790000
1981-07-24,5,128.46,0.0,129.31,127.11,128.46,0.83,38880000
1981-07-27,1,129.9,0.0,130.61,128.43,129.9,1.11,39610000
1981-07-28,2,129.14,0.0,130.44,128.28,129.14,-0.59,38160000
1981-07-29,3,129.16,0.0,130.09,128.37,129.16,0.02,37610000
1981-07-30,4,130.01,0.0,130.68,128.56,130.01,0.65,41560000
1981-07-31,5,130.92,0.0,131.78,129.6,130.92,0.7,43480000
1981-08-03,1,130.48,0.0,131.74,129.42,130.48,-0.34,39650000
1981-08-04,2,131.18,0.0,131.66,129.43,131.18,0.53,39460000
1981-08-05,3,132.67,0.0,133.39,130.76,132.67,1.12,54290000
1981-08-06,4,132.64,0.0,134.04,131.74,132.64,-0.02,52070000
1981-08-07,5,131.75,0.0,133.04,130.96,131.75,-0.68,38370000
1981-08-10,1,132.54,0.0,133.32,130.83,132.54,0.6,38370000
1981-08-11,2,133.85,0.0,134.63,132.09,133.85,0.98,52600000
1981-08-12,3,133.4,0.0,135.18,132.73,133.4,-0.34,53650000
1981-08-13,4,133.51,0.0,134.58,132.53,133.51,0.08,42460000
1981-08-14,5,132.49,0.0,134.33,131.91,132.49,-0.77,42580000
1981-08-17,1,131.22,0.0,133.02,130.75,131.22,-0.97,40840000
1981-08-18,2,130.11,0.0,131.73,129.1,130.11,-0.85,47270000
